福	祝福,しゅくふく, blessing
否   否定,ひてい, denial;  negation;
拒否,きょひ, refusal;  rejection;
否,いいえ, no;  nay;

遅   遅い,おそい, slow;  time-consuming;
遅れる,おくれる, to be late;  to be delayed;
遅刻,ちこく, lateness;  tardiness;

煙   煙,けむり, smoke;  fumes
煙草,たばこ, tobacco;  cigarette;
土煙,つちけむり, cloud of dust

徒   生徒,せいと, pupil;  student;
徒歩,とほ, walking;  going on foot
生徒会,せいとかい, student council

欠   欠ける,かける, to chip;  to be chipped;
欠片,かけら, fragment;  broken piece;
欠かす,かかす, to miss (doing);  to fail (to do)

迷   迷う,まよう, to lose one's way;  to get lost;
迷惑,めいわく, trouble;  bother;
迷い,まよい, hesitation;  bewilderment;

洗   洗う,あらう, to wash;  to cleanse;
洗濯,せんたく, washing;  laundry;
洗濯物,せんたくもの, laundry;  the washing

互   お互い,おたがい, each other;  one another
互いに,たがいに, mutually;  with each other;
お互いに,おたがいに, mutually;  with each other;

才   才能,さいのう, talent;  ability
天才,てんさい, genius;  prodigy;
才,さい, ability;  gift;

更   今更,いまさら, now (when it is already much too late);  at this stage;
変更,へんこう, change;  modification;
更に,さらに, furthermore;  again;

歯   歯,は, tooth
歯を食いしばる,はをくいしばる, to bear up in tragedy;  to stand pain well;
奥歯,おくば, molars;  back teeth

盗   盗む,ぬすむ, to steal;  to plagiarize;
盗賊,とうぞく, thief;  robber;
強盗,ごうとう, robber;  mugger;

慣   慣れる,なれる, to get used to;  to grow accustomed to;
見慣れる,みなれる, to become used to seeing;  to be familiar with
習慣,しゅうかん, habit;  (social) custom;

晩   一晩,ひとばん, one night;  one evening;
晩,ばん, evening;  night;
昨晩,さくばん, last night

箱   箱,はこ, box;  case;
木箱,きばこ, wooden box;  wooden crate
箱,ばこ, garbage can;  rubbish bin;

到   到着,とうちゃく, arrival
到達,とうたつ, reaching;  attaining;
到底,とうてい, (cannot) possibly;  (not) by any means;

頂   頂く,いただく, to receive;  to get;
頂点,ちょうてん, top;  summit;
頂戴,ちょうだい, receiving;  reception;

杯   精一杯,せいいっぱい, the best one can do;  one's best effort;
一杯,いっぱい, amount necessary to fill a container (e.g. cupful, spoonful, etc.);  drink (usu. alcoholic);
乾杯,かんぱい, cheers;  bottoms-up;

皆   皆さん,みなさん, all;  everyone;
皆,みんな, everyone;  everybody;
皆様,みなさま, everyone

招   招く,まねく, to invite;  to ask;
招待,しょうたい, invitation
